Date Time,ESZ8,Open,High,Low,Last,Volume,Open Interest,range,Over_50_points
2015-04-24,ESZ8,2062.25,2069.5,2057.75,2066.5,958312,2711119,11.75,False
2015-04-27,ESZ8,2068.0,2074.5,2055.0,2059.5,1210483,2688678,19.5,False
2015-04-28,ESZ8,2058.5,2067.25,2043.0,2066.75,1476513,2706583,24.25,False
2015-04-29,ESZ8,2065.5,2067.25,2045.25,2053.75,1739720,2720143,22.0,False
2015-04-30,ESZ8,2053.0,2056.75,2025.0,2033.75,2026329,2765711,31.75,False
2015-05-01,ESZ8,2037.5,2057.25,2035.25,2056.25,1022085,2734463,22.0,False
2015-05-04,ESZ8,2056.5,2069.75,2052.75,2064.0,1000837,2721947,17.0,False
2015-05-05,ESZ8,2064.25,2066.5,2036.25,2038.75,1590274,2703366,30.25,False
2015-05-06,ESZ8,2040.25,2048.5,2016.0,2029.0,1756254,2729348,32.5,False
2015-05-07,ESZ8,2029.5,2043.0,2011.75,2039.0,1437746,2713209,31.25,False
2015-05-08,ESZ8,2040.0,2068.25,2038.75,2063.25,1379447,2722856,29.5,False
2015-05-11,ESZ8,2064.75,2068.25,2050.5,2052.5,1147278,2717411,17.75,False
2015-05-12,ESZ8,2052.5,2055.75,2034.0,2049.75,1483837,2710825,21.75,False
2015-05-13,ESZ8,2051.0,2061.25,2046.25,2049.25,1341325,2714341,15.0,False
2015-05-14,ESZ8,2050.75,2073.0,2046.75,2072.25,1104560,2725106,26.25,False
2015-05-15,ESZ8,2072.0,2077.5,2068.0,2073.75,1023893,2723990,9.5,False
2015-05-18,ESZ8,2074.0,2083.5,2067.0,2080.75,917101,2730361,16.5,False
2015-05-19,ESZ8,2081.5,2088.75,2076.0,2079.25,1001397,2716966,12.75,False
2015-05-20,ESZ8,2079.0,2087.0,2074.0,2077.25,1011268,2717293,13.0,False
2015-05-21,ESZ8,2075.5,2086.75,2069.75,2082.75,794479,2724877,17.0,False
2015-05-22,ESZ8,2084.0,2085.75,2077.5,2079.25,765943,2720027,8.25,False
2015-05-26,ESZ8,2079.25,2081.75,2050.75,2059.75,1589652,2723908,31.0,False
2015-05-27,ESZ8,2060.5,2079.0,2056.0,2075.75,1290556,2737526,23.0,False
2015-05-28,ESZ8,2074.75,2077.5,2065.25,2076.5,1082365,2746809,12.25,False
2015-05-29,ESZ8,2076.5,2077.5,2057.0,2060.75,1692162,2766529,20.5,False
2015-06-01,ESZ8,2061.75,2072.5,2055.0,2064.0,1338859,2763714,17.5,False
2015-06-02,ESZ8,2065.75,2070.75,2048.75,2061.5,1442814,2760870,22.0,False
2015-06-03,ESZ8,2061.75,2075.5,2061.5,2070.75,1314954,2751605,14.0,False
2015-06-04,ESZ8,2071.0,2071.25,2046.0,2053.75,1717287,2785151,25.25,False
2015-06-05,ESZ8,2053.5,2057.5,2038.25,2047.0,1460654,2777034,19.25,False
2015-06-08,ESZ8,2046.75,2048.0,2031.0,2033.0,1290922,2780512,17.0,False
2015-06-09,ESZ8,2034.75,2039.5,2023.5,2034.75,1449695,2747909,16.0,False
2015-06-10,ESZ8,2035.5,2062.75,2034.75,2061.75,1665519,2589953,28.0,False
2015-06-11,ESZ8,2061.0,2069.25,2058.0,2064.0,746891,755803,11.25,False
2015-06-12,ESZ8,2063.75,2064.0,2044.5,2047.5,1763160,1262058,19.5,False
2015-06-15,ESZ8,2039.0,2044.0,2025.25,2038.0,1999786,1764777,18.75,False
2015-06-16,ESZ8,2037.75,2052.5,2024.5,2051.5,1657466,2246290,28.0,False
2015-06-17,ESZ8,2052.25,2061.25,2041.25,2051.75,1578971,2433892,20.0,False
2015-06-18,ESZ8,2051.5,2081.75,2044.5,2077.25,1902148,2549027,37.25,False
2015-06-19,ESZ8,2077.25,2080.25,2059.5,2060.25,1239246,2537546,20.75,False
2015-06-22,ESZ8,2068.25,2084.5,2066.0,2075.25,1095709,2563433,18.5,False
2015-06-23,ESZ8,2077.25,2083.0,2073.75,2079.0,837133,2554179,9.25,False
2015-06-24,ESZ8,2080.0,2081.0,2061.5,2062.0,1163124,2536478,19.5,False
2015-06-25,ESZ8,2063.75,2075.25,2054.5,2056.5,1218149,2534335,20.75,False
2015-06-26,ESZ8,2057.25,2063.25,2048.75,2058.25,1321884,2526649,14.5,False
2015-06-29,ESZ8,2026.5,2045.75,2009.75,2013.0,2292340,2614259,36.0,False
2015-06-30,ESZ8,2017.0,2031.5,2009.25,2017.0,2381572,2615790,22.25,False
2015-07-01,ESZ8,2017.0,2040.0,2017.0,2033.5,1252317,2625405,23.0,False
2015-07-02,ESZ8,2034.0,2041.5,2024.75,2031.25,1252317,2625405,16.75,False
2015-07-06,ESZ8,2031.0,2034.25,1996.75,2027.0,1973058,2657211,37.5,False
2015-07-07,ESZ8,2030.25,2040.5,1997.5,2036.25,2531662,2658021,43.0,False
2015-07-08,ESZ8,2035.5,2035.75,1998.75,2001.75,2393226,2729842,37.0,False
2015-07-09,ESZ8,2002.25,2030.5,2000.75,2003.75,1981972,2667051,29.75,False
2015-07-10,ESZ8,2007.25,2037.25,2007.25,2031.5,1573858,2619051,30.0,False
2015-07-13,ESZ8,2017.25,2057.25,2014.5,2057.0,1333579,2619098,42.75,False
2015-07-14,ESZ8,2056.5,2068.0,2053.0,2064.5,955518,2600930,15.0,False
2015-07-15,ESZ8,2065.0,2070.25,2057.5,2066.75,1147598,2584404,12.75,False
2015-07-16,ESZ8,2066.5,2081.0,2065.25,2079.5,1107382,2609902,15.75,False
2015-07-17,ESZ8,2079.5,2082.5,2075.25,2081.25,903686,2592829,7.25,False
2015-07-20,ESZ8,2080.5,2088.75,2079.0,2084.5,937630,2610884,9.75,False
2015-07-21,ESZ8,2083.75,2087.5,2069.25,2077.0,1209300,2620479,18.25,False
2015-07-22,ESZ8,2070.25,2074.5,2064.75,2070.5,1224393,2627734,9.75,False
